"team","teamscore","homescore","offense","defense","offhomeadv","defhomeadv","week"
"146","GRAM",-6.4,-6,-13.3,6.9,0,0.5,11
"147","LAM",-6.7,0.6,1.5,-8.2,4.6,2.6,11
"148","ROBMO",-7.2,-7,-5.1,-2.1,0.1,0,11
"149","ETNS",-7.3,-7.1,-7.3,-0.1,0.1,0.1,11
"150","MTS",-7.3,-6.7,-3.9,-3.4,0.1,0.5,11
"151","MONM",-7.9,-8,-2.7,-5.2,-0.2,0,11
"152","SAMHOU",-8,-8,-2.9,-5.1,-0.1,0.1,11
"153","WM",-8.1,-8.2,-8.3,0.2,-0.2,0.1,11
"154","FORD",-8.4,-8.5,1.2,-9.6,-0.2,0.1,11
"155","ALCOS",-8.5,-8.5,-5.7,-2.7,0.1,-0.1,11
"156","NAZ",-8.8,-9.1,4.9,-13.7,-0.1,-0.2,11
"157","TXS",-8.8,-4.4,-10.1,1.3,-0.1,4.6,11
"158","NCS",-8.9,8.5,-4.8,-4.1,5.4,11.9,11
"159","SFA",-9.1,-9.3,0.6,-9.7,-0.1,-0.1,11
"160","COLG",-9.3,-9.2,-4.1,-5.2,0.3,-0.2,11
"161","PORS",-9.5,-9.8,-9.4,-0.1,0.3,-0.5,11
"162","VAND",-9.8,-5.8,-6.8,-3,1.3,2.7,11
"163","HBU",-9.9,-9.9,-1.4,-8.4,-0.3,0.3,11
"164","UNLV",-10.7,-5.9,-3.5,-7.2,-0.1,4.8,11
"165","SAL",-10.8,-5.3,-11.7,0.8,1.4,4.1,11
"166","SD",-10.8,-10.7,-3.4,-7.5,-0.7,0.8,11
"167","RI",-10.9,-11.2,-6.3,-4.5,-0.1,-0.2,11
"168","NM",-11,-9.2,-8.6,-2.5,9,-7.1,11
"169","ID",-11.3,-11.8,-2.5,-8.8,-0.2,-0.3,11
"170","TNT",-11.3,-11.4,-3.6,-7.7,0.3,-0.4,11
"171","NCNEES",-11.4,-10.9,-4.3,-7,0.4,0.1,11
"172","NCAT",-11.5,-11.1,-6.1,-5.4,0.4,0,11
"173","UTEP",-11.6,-18.2,-6.7,-4.9,-2.1,-4.5,11
"174","NCO",-11.7,-11.6,-7.9,-3.9,0.4,-0.2,11
"175","NV",-11.7,-7.8,-6.3,-5.4,1.2,2.8,11
"176","CT",-12,-11.6,-5.1,-6.8,0.5,-0.1,11
"177","SEMO",-12,-11.2,-6.5,-5.5,0,0.9,11
"178","CAMP",-12.1,-12.4,-10,-2.1,-0.2,-0.1,11
"179","ELON",-12.6,-12.9,-7.8,-4.8,0,-0.3,11
"180","WIL",-12.6,-13.1,-8.1,-4.4,-0.4,-0.1,11
"181","RICHM",-12.7,-12.9,-7.3,-5.4,-0.1,-0.1,11
"182","R",-13.3,-13.9,-10.2,-3.2,1.7,-2.2,11
"183","WAG",-13.4,-13.8,-10.3,-3.1,-0.3,-0.2,11
"184","JACKS",-13.5,-14.3,-4.2,-9.3,-0.1,-0.7,11
"185","NMS",-13.5,-11.5,-3.6,-9.9,-6.3,8.2,11
"186","NICHOLLS",-13.9,-13.8,-7.7,-6.2,-0.1,0.2,11
"187","MOS",-14.2,-14.7,-6.9,-7.4,-0.5,0,11
"188","EIL",-14.3,-14.7,-6.6,-7.7,-0.1,-0.3,11
"189","EKY",-14.8,-14.5,-11.5,-3.3,0.7,-0.4,11
"190","UTSA",-14.8,-6.5,-8.2,-6.6,4.8,3.5,11
"191","HAMP",-15.6,-15.3,0.1,-15.7,0,0.3,11
"192","VMI",-15.8,-15.6,-4.6,-11.3,0.6,-0.3,11
"193","WCU",-15.8,-14.9,-9.8,-6,0.4,0.5,11
"194","CHATT",-16,-16,-8.3,-7.7,-0.2,0.1,11
"195","HOCR",-16.7,-16.3,-11.6,-5.1,0.5,-0.1,11
"196","INCW",-16.7,-17.4,-11.6,-5.1,-0.5,-0.1,11
"197","CALPOLY",-17.4,-17,-10,-7.4,0.2,0.1,11
"198","BUCKN",-17.6,-17.4,-4,-13.5,0.3,-0.2,11
"199","LAMAR",-17.7,-18.2,-8,-9.8,-0.1,-0.4,11
"200","NORFS",-17.9,-17.5,-7.9,-10,0.7,-0.3,11
"201","GARDW",-18.2,-17.1,-7.6,-10.6,0.3,0.7,11
"202","FLAM",-18.5,-19.3,-11.5,-7.1,-0.4,-0.3,11
"203","MURRS",-18.7,-18.5,-4.7,-14,-0.1,0.3,11
"204","SOUT",-19.2,-18.9,-3.5,-15.6,0.2,0,11
"205","SCS",-19.4,-19,-4.7,-14.6,0,0.4,11
"206","BOWL",-20.5,-5.8,-9.8,-10.7,1.4,13.3,11
"207","CHARSO",-22.3,-22.8,-4.5,-17.8,-0.3,-0.2,11
"208","STB",-23.1,-22.9,-7.8,-15.3,0.2,0,11
"209","MORGS",-24,-24.3,-7.9,-16.2,-0.2,-0.1,11
"210","BCU",-24.6,-24.7,-8.1,-16.5,0,-0.2,11
"211","AKR",-25,-22.1,-15.6,-9.4,-4.6,7.4,11
"212","TXSO",-25.6,-25.7,-4.8,-20.8,0.1,-0.2,11
"213","UMASS",-32.9,-31.5,-11,-22,6.7,-5.3,11
"214","HOW",-33.8,-34.5,-13.6,-20.2,-0.6,-0.1,11
"215","OHS",39.2,78,23.7,15.5,4.4,6.8,12
"216","CLEM",32.4,65,14.8,17.6,6.2,3.9,12
"217","AL",31.6,63,19.2,12.4,3.1,2.3,12
"218","PAS",31.2,62,12.7,18.5,2.6,-1.6,12
"219","GA",27.7,55,11.1,16.7,-2.7,2.9,12
"220","LAS",27.6,55,24.2,3.5,0.3,11.7,12
"221","AUB",26.2,52,8.5,17.6,1.5,1.1,12
"222","OR",25.5,51,13.6,11.9,0.6,5.3,12
"223","FL",24.4,49,11.1,13.3,2.5,8.7,12
"224","UT",23.4,47,9.9,13.5,0.9,9.4,12
"225","WI",23.2,46,9.3,13.9,7.5,5.5,12
"226","MI",22.9,46,9.4,13.4,4.5,2.7,12
"227","OK",22.4,45,16.5,5.9,10.1,1.7,12
"228","CFL",21.5,43,17.4,4.1,1.8,0.1,12
"229","APPS",20.8,42,9.9,11,5.5,-5.9,12
"230","IAS",20.8,42,10.6,10.2,3.9,-0.3,12
"231","IA",20.5,41,1.5,19,3.4,-1.4,12
"232","LALA",20.5,41,12.5,8,-5.6,4.1,12
"233","BAYL",19.9,40,6.5,13.5,1.6,-2.3,12
"234","NODA",19.5,39,8.3,11.3,7.7,1.4,12
"235","NAVY",17,34,10.8,6.2,1.7,4.5,12
"236","FLAT",16.8,34,11,5.8,-6.4,-2.4,12
"237","MEMPH",16.4,33,14.6,1.8,0.3,8.9,12
"238","OKS",16.3,33,12.7,3.6,-1.2,4.8,12
"239","WA",16.3,33,6.7,9.6,4.6,1.8,12
"240","SMU",16.2,32,17.7,-1.6,3.1,-2.7,12
"241","CIN",15.4,31,8.2,7.3,0.7,9.1,12
"242","IN",15.4,31,9.7,5.7,-1.6,8.4,12
"243","VAT",14.9,30,8.6,6.4,-7.5,-4.1,12
"244","MN",14.4,29,7.2,7.1,7.4,3.6,12
"245","KSS",14.3,29,4.6,9.7,5.6,-0.7,12
"246","TX",14,28,12.6,1.4,0.7,3.7,12
"247","AIRF",13.9,28,6.2,7.7,3,4.5,12
