awayscore,homescore,awayteam,hometeam,week,OT,spread,points
17,24,OLD,FIU,10,0
58,27,BOSCO,CUSE,10,0
63,21,LIB,UMASS,10,0
29,44,HOUS,CFL,10,0
43,14,BUFF,EMI,10,0
14,45,UTSA,TAM,10,0
27,31,NE,PURD,10,0
38,7,MI,MD,10,0
10,44,NCS,WF,10,0
6,35,AKR,BOWL,10,0
20,21,VAT,NODA,10,0
35,36,TROY,COAST,10,0
38,10,KSS,KS,10,0
20,34,MIDTN,CHARL,10,0
27,10,UMIA,FLS,10,0
24,17,GA,FL,10,0
10,38,R,IL,10,0
26,52,UTEP,NTX,10,0
27,34,TCU,OKS,10,0
20,7,MARSH,RICE,10,0
13,17,ARMY,AIRF,10,0
17,37,UNLV,COS,10,0
48,41,ARS,LAM,10,0
33,28,UT,WA,10,0
54,24,MSS,AR,10,0
35,24,FLAT,WKY,10,0
14,59,WOFF,CLEM,10,0
20,10,PITT,GAT,10,0
26,38,TULS,TULN,10,0
56,38,ORS,AZ,10,0
3,31,TXS,LALA,10,0
14,20,MS,AUB,10,0
7,30,ALB,TN,10,0
3,34,NORW,IN,10,0
46,43,CIN,ECARO,10,0
7,24,VAND,SCARO,10,0
48,54,SMU,MEMPH,10,0
38,31,VA,NC,10,0
56,24,OR,SC,10,0
14,31,CO,UCLA,10,0
42,14,BY,UTS,10,0
52,42,BOIS,SJS,10,0
10,21,NM,NV,10,0
41,38,FREST,HI,10,0
33,35,KENT,TOL,11,0
31,35,BALL,WMI,11,0
24,21,MIOH,OH,11,0
48,7,LALA,COAST,11,0
17,7,TEMP,SFL,11,0
31,34,CFL,TULS,11,0
19,7,WA,ORS,11,0
38,17,TXT,WV,11,0
38,31,FLS,BOSCO,11,0
24,22,PURD,NORW,11,0
7,63,UMASS,ARMY,11,0
45,19,WKY,AR,11,0
26,31,PAS,MN,11,0
14,73,MD,OHS,11,0
9,9,BAYL,TCU,11,1
0,56,VAND,FL,11,0
51,59,ECARO,SMU,11,0
46,41,LAS,AL,11,0
24,27,KSS,TX,11,0
3,48,CT,CIN,11,0
22,24,IA,WI,11,0
0,27,MO,GA,11,0
38,7,NODA,DUKE,11,0
55,10,CLEM,NCS,11,0
41,42,IAS,OK,11,0
17,17,WY,BOIS,11,1
17,13,NV,SDS,11,0
40,42,SJS,HI,11,0
42,14,EMI,AKR,12,0
31,31,WMI,OH,12,1
3,44,BOWL,MIOH,12,0
31,28,NIL,TOL,12,0
27,30,BUFF,KENT,12,0
27,27,NC,PITT,12,1
42,14,EMI,AKR,12,0
37,34,WMI,OH,12,0
3,44,BOWL,MIOH,12,0
31,28,NIL,TOL,12,0
27,30,BUFF,KENT,12,0
10,31,LAT,MARSH,12,0
7,17,FREST,SDS,12,0
12,49,ALS,FLS,12,0
6,45,UMASS,NORW,12,0
33,31,TCU,TXT,12,0
21,29,TULN,TEMP,12,0
6,47,VMI,ARMY,12,0
13,31,KS,OKS,12,0
27,34,IN,PAS,12,0
38,7,AL,MSS,12,0
10,44,MIS,MI,12,0
37,21,WI,NE,12,0
23,6,FL,MO,12,0
20,52,NAVY,NODA,12,0
45,27,MEMPH,HOUS,12,0
3,52,WF,CLEM,12,0
21,14,GA,AUB,12,0
56,21,OHS,R,12,0
45,0,VAT,GAT,12,0
19,23,MN,IA,12,0
20,17,CIN,SFL,12,0
58,37,LAS,MS,12,0
56,27,APPS,GAS,12,0
6,30,SCARO,TAM,12,0
34,31,OK,BAYL,12,0
3,49,UCLA,UT,12,0
9,42,NM,BOIS,12,0
6,34,AZ,OR,12,0
41,17,SC,CA,12,0
45,17,EMI,NIL,13,0
66,24,OH,BOWL,13,0
30,49,TOL,BUFF,13,0
17,20,AKR,MIOH,13,0
26,28,NCS,GAT,13,0
7,17,COS,WY,13,0
56,24,BY,UMASS,13,0
31,24,ECARO,CT,13,0
34,31,CFL,TULN,13,0
27,0,MIS,R,13,0
31,41,KS,IAS,13,0
20,13,OKS,WVA,13,0
38,22,MN,NORW,13,0
27,55,LIB,VA,13,0
17,28,PAS,OHS,13,0
10,19,IL,IA,13,0
38,41,BALL,KENT,13,0
44,22,SAL,GAS,13,0
7,40,AIRF,NM,13,0
7,40,BOSCO,NODA,13,0
13,35,TXS,APPS,13,0
33,38,GASO,ARS,13,0
35,52,UCLA,SC,13,0
28,35,SMU,NAVY,13,0
28,10,WKY,SMS,13,0
0,28,PITT,VAT,13,0
7,50,TNM,KY,13,0
0,38,ETNS,VAND,13,0
10,24,TX,BAYL,13,0
13,24,MARSH,CHARL,13,0
54,7,NE,MD,13,0
13,19,TAM,GA,13,0
14,20,NTX,RICE,13,0
39,14,MI,IN,13,0
35,38,SJS,UNLV,13,0
35,44,UTEP,NMS,13,0
24,20,CA,ST,13,0
24,45,PURD,WI,13,0
34,56,CUSE,LOUIS,13,0
49,10,MEMPH,SFL,13,0
17,38,OLD,MIDTN,13,0
42,45,COAST,LAM,13,0
3,53,TROY,LALA,13,0
40,26,FLAT,UTSA,13,0
28,31,OR,AZS,13,0
13,15,TEMP,CIN,13,0
30,27,KSS,TXT,13,0
24,30,UMIA,FIU,13,0
20,56,AR,LAS,13,0
24,20,TN,MO,13,0
27,39,DUKE,WF,13,0
7,45,ACU,MSS,13,0
24,14,HOUS,TULS,13,0
24,28,TCU,OK,13,0
53,54,ORS,WAS,13,0
35,7,UT,AZ,13,0
14,20,WA,CO,13,0
35,28,NV,FREST,13,0
56,21,BOIS,UTS,13,0
11,14,SDS,HI,13,0
3,66,WCU,AL,13,0
0,52,SAM,AUB,13,0
52,3,OH,AKR,14,0
14,17,WMI,NIL,14,0
20,21,MS,MSS,14,0
7,49,BOWL,BUFF,14,0
24,49,TXT,TX,14,0
27,41,MIOH,BALL,14,0
34,26,KENT,EMI,14,0
7,49,TOL,CMI,14,0
30,39,VAT,VA,14,0
27,24,IA,NE,14,0
24,14,MO,AR,14,0
24,34,CIN,MEMPH,14,0
31,24,BOIS,COS,14,0
13,31,WAS,WA,14,0
20,17,WV,TCU,14,0
30,34,ARS,SAL,14,0
48,13,APPS,TROY,14,0
7,34,SFL,CFL,14,0
38,3,CLEM,SCARO,14,0
21,24,TXS,COAST,14,0
56,27,OHS,MI,14,0
52,7,GA,GAT,14,0
31,31,IN,PURD,14,1
29,10,NORW,IL,14,0
24,24,FIU,MARSH,14,1
13,45,LOUIS,KY,14,0
49,24,TULS,ECARO,14,0
30,30,WF,CUSE,14,1
38,22,CHARL,OLD,14,0
26,31,MIDTN,WKY,14,0
28,49,NMS,LIB,14,0
6,20,WY,AIRF,14,0
30,16,RICE,UTEP,14,0
27,27,UNLV,NV,14,1
38,17,WI,MN,14,0
26,19,BOSCO,PITT,14,0
17,34,SMS,FLAT,14,0
17,27,UMIA,DUKE,14,0
61,6,BAYL,KS,14,0
6,27,R,PAS,14,0
45,48,AL,AUB,14,0
17,49,CT,TEMP,14,0
45,24,NODA,ST,14,0
20,37,TULN,SMU,14,0
10,28,VAND,TN,14,0
10,24,ORS,OR,14,0
38,35,UTS,NM,14,0
26,21,ALB,NTX,14,0
10,38,GAS,GASO,14,0
17,27,IAS,KSS,14,0
56,41,NAVY,HOUS,14,0
41,10,NC,NCS,14,0
7,50,TAM,LAS,14,0
30,31,LAM,LALA,14,0
15,45,CO,UT,14,0
17,40,FLS,FL,14,0
34,16,OK,OKS,14,0
3,13,BY,SDS,14,0
14,24,AZ,AZS,14,0
16,17,FREST,SJS,14,0
28,18,CA,UCLA,14,0
